timestamp,open,high,low,close,volume
2024-01-01T00:00:00+00:00,1.10000,1.10005,1.09988,1.09991,132
2024-01-01T00:15:00+00:00,1.09991,1.10062,1.09935,1.10034,124
2024-01-01T00:30:00+00:00,1.10034,1.10038,1.10003,1.10022,388
2024-01-01T00:45:00+00:00,1.10022,1.10067,1.10018,1.10047,359
2024-01-01T01:00:00+00:00,1.10047,1.10063,1.09980,1.09991,161
2024-01-01T01:15:00+00:00,1.09991,1.10120,1.09965,1.10112,159
2024-01-01T01:30:00+00:00,1.10112,1.10185,1.10088,1.10136,263
2024-01-01T01:45:00+00:00,1.10136,1.10197,1.10102,1.10173,102
2024-01-01T02:00:00+00:00,1.10173,1.10210,1.10138,1.10166,362
2024-01-01T02:15:00+00:00,1.10166,1.10178,1.10119,1.10160,265
2024-01-01T02:30:00+00:00,1.10160,1.10181,1.10059,1.10080,228
2024-01-01T02:45:00+00:00,1.10080,1.10155,1.10075,1.10096,131
2024-01-01T03:00:00+00:00,1.10096,1.10119,1.10043,1.10052,261
2024-01-01T03:15:00+00:00,1.10052,1.10058,1.10002,1.10025,116
2024-01-01T03:30:00+00:00,1.10025,1.10037,1.09999,1.10001,274
2024-01-01T03:45:00+00:00,1.10001,1.10010,1.09903,1.09971,365
2024-01-01T04:00:00+00:00,1.09971,1.10012,1.09970,1.09986,96
2024-01-01T04:15:00+00:00,1.09986,1.09997,1.09943,1.09972,113
2024-01-01T04:30:00+00:00,1.09972,1.10082,1.09953,1.10013,335
2024-01-01T04:45:00+00:00,1.10013,1.10065,1.09942,1.09982,314
2024-01-01T05:00:00+00:00,1.09982,1.10022,1.09981,1.10009,379
2024-01-01T05:15:00+00:00,1.10009,1.10045,1.09925,1.09942,265
2024-01-01T05:30:00+00:00,1.09942,1.10091,1.09929,1.09989,104
2024-01-01T05:45:00+00:00,1.09989,1.10006,1.09976,1.09995,161
2024-01-01T06:00:00+00:00,1.09995,1.10050,1.09968,1.10019,319
2024-01-01T06:15:00+00:00,1.10019,1.10129,1.10005,1.10051,85
2024-01-01T06:30:00+00:00,1.10051,1.10064,1.10009,1.10047,254
2024-01-01T06:45:00+00:00,1.10047,1.10071,1.09969,1.09989,312
2024-01-01T07:00:00+00:00,1.09989,1.10095,1.09974,1.10094,171
2024-01-01T07:15:00+00:00,1.10094,1.10109,1.09946,1.09947,400
2024-01-01T07:30:00+00:00,1.09947,1.09987,1.09917,1.09931,162
2024-01-01T07:45:00+00:00,1.09931,1.09981,1.09906,1.09919,351
2024-01-01T08:00:00+00:00,1.09919,1.10020,1.09905,1.10000,265
2024-01-01T08:15:00+00:00,1.10000,1.10054,1.09961,1.10013,237
2024-01-01T08:30:00+00:00,1.10013,1.10050,1.10002,1.10028,328
2024-01-01T08:45:00+00:00,1.10028,1.10062,1.09952,1.10029,352
2024-01-01T09:00:00+00:00,1.10029,1.10060,1.09992,1.10044,215
2024-01-01T09:15:00+00:00,1.10044,1.10108,1.10037,1.10068,188
2024-01-01T09:30:00+00:00,1.10068,1.10193,1.10050,1.10171,284
2024-01-01T09:45:00+00:00,1.10171,1.10215,1.10094,1.10096,304
2024-01-01T10:00:00+00:00,1.10096,1.10181,1.10096,1.10162,90
2024-01-01T10:15:00+00:00,1.10162,1.10216,1.10151,1.10197,192
2024-01-01T10:30:00+00:00,1.10197,1.10307,1.10187,1.10305,96
2024-01-01T10:45:00+00:00,1.10305,1.10334,1.10296,1.10327,201
2024-01-01T11:00:00+00:00,1.10327,1.10363,1.10280,1.10329,372
2024-01-01T11:15:00+00:00,1.10329,1.10349,1.10310,1.10320,322
2024-01-01T11:30:00+00:00,1.10320,1.10367,1.10294,1.10349,296
2024-01-01T11:45:00+00:00,1.10349,1.10452,1.10317,1.10401,107
2024-01-01T12:00:00+00:00,1.10401,1.10477,1.10311,1.10336,253
2024-01-01T12:15:00+00:00,1.10336,1.10392,1.10323,1.10387,178
2024-01-01T12:30:00+00:00,1.10387,1.10458,1.10366,1.10428,207
2024-01-01T12:45:00+00:00,1.10428,1.10475,1.10419,1.10467,361
2024-01-01T13:00:00+00:00,1.10467,1.10580,1.10462,1.10555,127
2024-01-01T13:15:00+00:00,1.10555,1.10622,1.10529,1.10570,165
2024-01-01T13:30:00+00:00,1.10570,1.10589,1.10487,1.10530,164
2024-01-01T13:45:00+00:00,1.10530,1.10593,1.10390,1.10450,215
2024-01-01T14:00:00+00:00,1.10450,1.10586,1.10440,1.10562,364
2024-01-01T14:15:00+00:00,1.10562,1.10689,1.10533,1.10671,177
2024-01-01T14:30:00+00:00,1.10671,1.10747,1.10611,1.10644,240
2024-01-01T14:45:00+00:00,1.10644,1.10681,1.10613,1.10627,337
2024-01-01T15:00:00+00:00,1.10627,1.10729,1.10594,1.10711,175
2024-01-01T15:15:00+00:00,1.10711,1.10765,1.10706,1.10755,200
2024-01-01T15:30:00+00:00,1.10755,1.10796,1.10622,1.10657,100
2024-01-01T15:45:00+00:00,1.10657,1.10680,1.10623,1.10644,378
2024-01-01T16:00:00+00:00,1.10644,1.10654,1.10613,1.10616,240
2024-01-01T16:15:00+00:00,1.10616,1.10728,1.10586,1.10726,233
2024-01-01T16:30:00+00:00,1.10726,1.10744,1.10610,1.10614,398
2024-01-01T16:45:00+00:00,1.10614,1.10732,1.10613,1.10632,117
2024-01-01T17:00:00+00:00,1.10632,1.10640,1.10565,1.10584,115
2024-01-01T17:15:00+00:00,1.10584,1.10668,1.10564,1.10647,160
2024-01-01T17:30:00+00:00,1.10647,1.10661,1.10571,1.10599,350
2024-01-01T17:45:00+00:00,1.10599,1.10840,1.10597,1.10785,233
2024-01-01T18:00:00+00:00,1.10785,1.10839,1.10768,1.10833,134
2024-01-01T18:15:00+00:00,1.10833,1.10834,1.10806,1.10823,224
2024-01-01T18:30:00+00:00,1.10823,1.10852,1.10759,1.10771,215
2024-01-01T18:45:00+00:00,1.10771,1.10899,1.10770,1.10876,106
2024-01-01T19:00:00+00:00,1.10876,1.10969,1.10875,1.10952,146
2024-01-01T19:15:00+00:00,1.10952,1.10996,1.10934,1.10981,306
2024-01-01T19:30:00+00:00,1.10981,1.10991,1.10933,1.10945,156
2024-01-01T19:45:00+00:00,1.10945,1.11026,1.10929,1.10971,378
2024-01-01T20:00:00+00:00,1.10971,1.10981,1.10908,1.10936,100
2024-01-01T20:15:00+00:00,1.10936,1.10992,1.10923,1.10975,207
2024-01-01T20:30:00+00:00,1.10975,1.11000,1.10916,1.10973,397
2024-01-01T20:45:00+00:00,1.10973,1.10973,1.10885,1.10953,201
2024-01-01T21:00:00+00:00,1.10953,1.11149,1.10930,1.11087,92
2024-01-01T21:15:00+00:00,1.11087,1.11117,1.10937,1.10998,290
2024-01-01T21:30:00+00:00,1.10998,1.11120,1.10990,1.11063,135
2024-01-01T21:45:00+00:00,1.11063,1.11070,1.11040,1.11046,320
2024-01-01T22:00:00+00:00,1.11046,1.11146,1.11021,1.11092,196
2024-01-01T22:15:00+00:00,1.11092,1.11139,1.11048,1.11131,284
2024-01-01T22:30:00+00:00,1.11131,1.11184,1.11078,1.11102,340
2024-01-01T22:45:00+00:00,1.11102,1.11188,1.11052,1.11120,354
2024-01-01T23:00:00+00:00,1.11120,1.11147,1.11103,1.11140,377
2024-01-01T23:15:00+00:00,1.11140,1.11163,1.11130,1.11136,135
2024-01-01T23:30:00+00:00,1.11136,1.11152,1.11111,1.11119,341
2024-01-01T23:45:00+00:00,1.11119,1.11167,1.11042,1.11084,177
2024-01-02T00:00:00+00:00,1.11084,1.11157,1.11016,1.11110,355
2024-01-02T00:15:00+00:00,1.11110,1.11168,1.11045,1.11141,180
2024-01-02T00:30:00+00:00,1.11141,1.11163,1.11127,1.11155,240
2024-01-02T00:45:00+00:00,1.11155,1.11163,1.11125,1.11138,233
2024-01-02T01:00:00+00:00,1.11138,1.11140,1.11058,1.11079,363
2024-01-02T01:15:00+00:00,1.11079,1.11213,1.11056,1.11191,274
2024-01-02T01:30:00+00:00,1.11191,1.11249,1.11145,1.11164,360
2024-01-02T01:45:00+00:00,1.11164,1.11177,1.11138,1.11161,187
2024-01-02T02:00:00+00:00,1.11161,1.11177,1.11101,1.11120,306
2024-01-02T02:15:00+00:00,1.11120,1.11136,1.11063,1.11095,166
2024-01-02T02:30:00+00:00,1.11095,1.11120,1.11073,1.11099,127
2024-01-02T02:45:00+00:00,1.11099,1.11120,1.11013,1.11059,238
2024-01-02T03:00:00+00:00,1.11059,1.11116,1.11037,1.11096,323
2024-01-02T03:15:00+00:00,1.11096,1.11174,1.11063,1.11135,313
2024-01-02T03:30:00+00:00,1.11135,1.11157,1.11078,1.11094,333
2024-01-02T03:45:00+00:00,1.11094,1.11227,1.11084,1.11213,82
2024-01-02T04:00:00+00:00,1.11213,1.11375,1.11174,1.11338,192
2024-01-02T04:15:00+00:00,1.11338,1.11372,1.11234,1.11302,345
2024-01-02T04:30:00+00:00,1.11302,1.11310,1.11246,1.11260,148
2024-01-02T04:45:00+00:00,1.11260,1.11291,1.11217,1.11277,366
2024-01-02T05:00:00+00:00,1.11277,1.11319,1.11157,1.11189,338
2024-01-02T05:15:00+00:00,1.11189,1.11247,1.11141,1.11170,308
2024-01-02T05:30:00+00:00,1.11170,1.11312,1.11147,1.11282,206
2024-01-02T05:45:00+00:00,1.11282,1.11336,1.11262,1.11323,346
2024-01-02T06:00:00+00:00,1.11323,1.11325,1.11269,1.11313,200
